date,CVS,Price Chopper,SUNY Albany,Walgreens,Albany Armory,Hannaford,Times Union Center,Walmart,Queensbury Mall
2021-04-16 14:50:27,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(9) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Schenectady (136) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (61) Troy (78) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (77) Amsterdam (96) ,Unavailable
2021-04-16 14:45:30,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(9) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Schenectady (136) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (61) Troy (78) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (77) Amsterdam (96) ,Unavailable
2021-04-16 14:40:32,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(9) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Schenectady (136) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (61) Troy (78) Glenmont (81) Latham (77) Albany (74) Schenectady (83) Glenville (77) Amsterdam (96) ,Unavailable
2021-04-16 14:35:24,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(9) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Schenectady (136) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (61) Troy (78) Glenmont (82) Latham (77) Albany (74) Schenectady (83) Glenville (77) Amsterdam (96) ,Unavailable
2021-04-16 14:30:27,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(10) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Schenectady (136) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (60) Troy (78) Glenmont (82) Latham (77) Albany (74) Schenectady (83) Glenville (77) Amsterdam (97) ,Unavailable
2021-04-16 14:25:24,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(10) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Loudonville (68) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (60) Troy (78) Glenmont (82) Latham (78) Albany (74) Schenectady (85) Glenville (78) Amsterdam (97) ,Unavailable
2021-04-16 14:20:27,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(10) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Loudonville (68) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (60) Troy (78) Glenmont (83) Latham (78) Albany (74) Schenectady (85) Glenville (78) Amsterdam (97) ,Unavailable
2021-04-16 14:15:23,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(10) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Loudonville (68) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (78) Glenmont (83) Latham (78) Albany (74) Schenectady (85) Glenville (78) Amsterdam (102) ,Unavailable
2021-04-16 14:10:25,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(10) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (68) Schenectady (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (78) Glenmont (83) Latham (78) Albany (75) Schenectady (86) Glenville (79) Amsterdam (102) ,Unavailable
2021-04-16 14:05:29,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(10) Schenectady(8) Schenectady(10) Scotia(5) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (68) Schenectady (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (78) Glenmont (86) Latham (78) Albany (75) Schenectady (86) Glenville (79) Amsterdam (102) ,Unavailable
